animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A733589,2016-07-17,Unknown,2016-08-28,08-2016,Transfer,Partner,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Black/White,42
A733590,2016-07-17,Unknown,2016-08-28,08-2016,Transfer,Partner,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Black/White,42
A732942,2006-08-15,Lily,2016-08-29,08-2016,Transfer,Partner,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Black/White,3667
A734035,2014-08-31,Jack,2016-08-31,08-2016,Return to Owner,,Dog,Neutered Male,2 years,Golden Retriever/Standard Poodle,Yellow,731
A731185,2015-01-17,Ghost,2016-08-31,08-2016,Return to Owner,,Dog,Neutered Male,1 year,Siberian Husky Mix,White,592
A726259,2013-05-08,Bevo,2016-08-31,08-2016,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,1211
A544848,2008-08-07,Shelby,2016-08-31,08-2016,Transfer,Partner,Dog,Neutered Male,8 years,Labrador Retriever/Chow Chow,Red/White,2946
A641310,2012-08-06,Minnie,2016-08-31,08-2016,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White,1486
A733549,2016-06-23,*Peter,2016-09-01,09-2016,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,70
A733550,2016-06-23,*Paul,2016-09-01,09-2016,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,70
A733551,2016-06-23,*Phillip,2016-09-01,09-2016,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,70
A733552,2016-06-23,*Percival,2016-09-01,09-2016,Transfer,Partner,Cat,Intact Male,2 months,Domestic Longhair Mix,Brown Tabby,70
A731414,2016-05-21,*Audrey,2016-09-01,09-2016,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black Tabby,103
A729188,2016-05-14,*Andre,2016-09-01,09-2016,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,110
A733833,2015-08-27,Mia,2016-09-02,09-2016,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,Tricolor,372
A730836,2016-06-21,*Sapphire,2016-09-02,09-2016,Missing,Possible Theft,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Blue,73
A718510,2014-01-01,Blue Boy,2016-09-02,09-2016,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,975
A733676,2016-03-25,*Orelia,2016-09-03,09-2016,Adoption,,Dog,Spayed Female,5 months,Jack Russell Terrier Mix,Brown,162
A734193,2015-09-03,Unknown,2016-09-03,09-2016,Euthanasia,Suffering,Other,Intact Female,1 year,Rabbit Sh Mix,Black,366
A733251,2014-08-19,Bandit,2016-09-04,09-2016,Transfer,Partner,Dog,Neutered Male,2 years,American Foxhound Mix,Tan/White,747
A733962,2016-07-04,Unknown,2016-09-05,09-2016,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,63
A733386,2015-03-21,Zoe,2016-09-06,09-2016,Transfer,Partner,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Black,535
A733907,2014-04-29,Nugget,2016-09-06,09-2016,Transfer,Partner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Silver/Brown,861
A734028,2016-05-01,*Popeye,2016-09-06,09-2016,Transfer,Partner,Dog,Intact Male,4 months,Pit Bull Mix,White/Black,128
A734188,2015-09-04,Unknown,2016-09-06,09-2016,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Black,368
A730378,2012-07-03,Brew,2016-09-06,09-2016,Adoption,,Dog,Neutered Male,4 years,Bulldog Mix,Tan,1526
A712948,2013-09-30,Briah,2016-09-06,09-2016,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,1072
A734525,2016-07-24,Unknown,2016-09-09,09-2016,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White,47
A734566,2016-09-08,Unknown,2016-09-10,09-2016,Died,In Kennel,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White,2
A579593,2009-10-07,Alaza,2016-09-11,09-2016,Transfer,Partner,Dog,Spayed Female,6 years,American Bulldog Mix,White/Tan,2531
A734642,2016-01-10,Unknown,2016-09-11,09-2016,Transfer,Partner,Dog,Intact Male,8 months,German Shepherd Mix,Tan/Black,245
