animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A769959,2017-04-13,Unknown,2018-05-08,05-2018,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,390
A771687,2018-04-18,Unknown,2018-05-09,05-2018,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,21
A771694,2018-04-28,Unknown,2018-05-09,05-2018,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Medium Hair Mix,Brown Tabby/Black,11
A771695,2018-04-28,Unknown,2018-05-09,05-2018,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,Black/White,11
A771696,2018-04-28,Unknown,2018-05-09,05-2018,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,Black/White,11
A771697,2018-04-28,Unknown,2018-05-09,05-2018,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,Blue,11
A771253,2017-05-02,Unknown,2018-05-09,05-2018,Transfer,Partner,Dog,Neutered Male,1 year,Standard Poodle Mix,White,372
A771516,2017-05-06,Unknown,2018-05-10,05-2018,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby/White,369
A771856,2018-04-26,Unknown,2018-05-11,05-2018,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Cream,15
A771857,2018-04-26,Unknown,2018-05-11,05-2018,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange,15
A771858,2018-04-26,Unknown,2018-05-11,05-2018,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Gray,15
A771611,2017-05-07,Unknown,2018-05-11,05-2018,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,369
A771591,2018-01-23,Unknown,2018-05-11,05-2018,Transfer,Snr,Cat,Unknown,3 months,Domestic Longhair Mix,Black/White,108
A771929,2018-04-12,*Brie,2018-05-16,05-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,34
A771930,2018-04-12,*Colby,2018-05-16,05-2018,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,34
A767530,2016-03-02,*Sawyer,2018-05-16,05-2018,Transfer,Partner,Dog,Neutered Male,2 years,Staffordshire Mix,Tan/White,805
A772320,2018-05-15,Unknown,2018-05-17,05-2018,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White,2
A772323,2018-05-15,Unknown,2018-05-17,05-2018,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White,2
A772324,2018-05-15,Unknown,2018-05-17,05-2018,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White,2
A772338,2018-05-11,Unknown,2018-05-18,05-2018,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,White/Black,7
A772339,2018-05-11,Unknown,2018-05-18,05-2018,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,White/Blue,7
A771889,2018-04-11,Unknown,2018-05-22,05-2018,Euthanasia,At Vet,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,41
A772294,2018-04-09,*Pipsqueak,2018-05-23,05-2018,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,44
A765608,2017-01-23,Sam,2018-05-23,05-2018,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,485
A772775,2017-07-23,Unknown,2018-05-24,05-2018,Transfer,Partner,Dog,Intact Male,10 months,Labrador Retriever/Pit Bull,Black/White,305
A772615,2015-05-21,*Sage,2018-05-25,05-2018,Missing,,Dog,Intact Female,3 years,German Shepherd Mix,Tan/Black,1100
A772970,2018-05-20,Unknown,2018-05-25,05-2018,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Gray/White,5
A770500,2014-04-20,Major,2018-05-27,05-2018,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull Mix,Fawn/White,1498
A773177,2018-03-14,Unknown,2018-05-29,05-2018,Died,At Vet,Dog,Intact Female,2 months,Labrador Retriever Mix,Brown/Black,76
A770596,2017-04-22,Aurora,2018-05-30,05-2018,Adoption,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,403
A773475,2017-12-01,Unknown,2018-06-01,06-2018,Transfer,Partner,Dog,Neutered Male,5 months,Cairn Terrier Mix,Brown/White,182
A769151,2017-03-31,*Cally,2018-06-04,06-2018,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,430
A773519,2016-06-02,Dog,2018-06-04,06-2018,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,White,732
A773388,2017-05-31,Unknown,2018-06-04,06-2018,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue/White,369
A773375,2018-05-01,Unknown,2018-06-04,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby,34
A773376,2017-05-31,Unknown,2018-06-04,06-2018,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair Mix,Black,369
A773377,2018-05-01,Unknown,2018-06-04,06-2018,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby,34
A773378,2018-05-01,Unknown,2018-06-04,06-2018,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby,34
A773379,2018-05-01,Unknown,2018-06-04,06-2018,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby,34
A773753,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,21
A773754,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,21
A773755,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,21
A773756,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,21
A773759,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,21
A773760,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Black,21
A773761,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,21
A773762,2018-05-15,Unknown,2018-06-05,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,21
A773899,2014-06-07,Babs,2018-06-07,06-2018,Transfer,Partner,Dog,Spayed Female,4 years,Shih Tzu,White/Black,1461
A773130,2006-05-28,Ariel,2018-06-07,06-2018,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Calico,4393
A773964,2018-05-17,Unknown,2018-06-08,06-2018,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,22
A773965,2018-05-17,Unknown,2018-06-08,06-2018,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,22
A773966,2018-05-17,Unknown,2018-06-08,06-2018,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,22
A458233,2006-01-12,Cinnamon,2018-06-08,06-2018,Euthanasia,At Vet,Dog,Spayed Female,12 years,Beagle Mix,Tricolor,4530
A773764,2018-06-03,Unknown,2018-06-09,06-2018,Died,In Kennel,Cat,Intact Female,6 days,Domestic Shorthair Mix,Brown Tabby,6
A773861,2018-05-06,*Guy,2018-06-09,06-2018,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,34
A774024,2018-05-09,Unknown,2018-06-09,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Turkish Van Mix,White/Black,31
A774025,2018-05-09,Unknown,2018-06-09,06-2018,Transfer,Partner,Cat,Intact Male,4 weeks,Turkish Van Mix,White/Black,31
A774026,2018-05-09,Unknown,2018-06-09,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Turkish Van Mix,White/Black,31
A774027,2018-05-19,Unknown,2018-06-09,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Turkish Van Mix,White/Black,21
A774033,2017-12-09,Bear,2018-06-10,06-2018,Transfer,Partner,Dog,Intact Male,6 months,Pit Bull Mix,Brown/White,183
A774145,2018-03-27,Unknown,2018-06-10,06-2018,Transfer,Partner,Cat,Unknown,2 months,Domestic Shorthair Mix,White/Black Tabby,75
A774147,2018-05-10,Unknown,2018-06-11,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White,32
A773983,2017-10-08,*Tami,2018-06-14,06-2018,Transfer,Partner,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Tan,249
A773936,2016-06-07,Momo,2018-06-14,06-2018,Adoption,,Dog,Spayed Female,2 years,American Foxhound Mix,Tan/White,737
A732140,2016-05-27,Taliyah,2018-06-14,06-2018,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog/German Shepherd,Black/Tan,748
A775022,2018-05-23,Unknown,2018-06-23,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Gray Tabby/White,31
A769642,2015-05-07,Hazel,2018-06-24,06-2018,Transfer,Partner,Dog,Spayed Female,3 years,Basset Hound/Australian Cattle Dog,Tan/White,1144
A666110,2012-05-27,Precious,2018-06-26,06-2018,Adoption,Foster,Dog,Spayed Female,6 years,Staffordshire Mix,Brown/Black,2221
A775329,2014-06-28,Chiquita,2018-06-28,06-2018,Transfer,Partner,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Tan,1461
A775079,2018-05-19,*Honda,2018-06-28,06-2018,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,40
A775081,2018-05-19,*Audi,2018-06-28,06-2018,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue,40
A775082,2018-05-19,*Ford,2018-06-28,06-2018,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,40
A775084,2018-05-19,*Volvo,2018-06-28,06-2018,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,40
A774981,2018-05-17,Unknown,2018-06-29,06-2018,Died,In Kennel,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White,43
A775164,2015-06-25,Lady,2018-06-30,06-2018,Transfer,Partner,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Black/Brown,1101
A775290,2018-06-06,*Hank,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White,24
A775458,2018-06-07,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White,23
A775459,2018-06-07,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese Mix,Lynx Point,23
A775460,2018-06-07,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Female,3 weeks,Siamese Mix,Tortie Point,23
A775462,2017-12-30,Unknown,2018-06-30,06-2018,Relocate,,Other,Unknown,5 months,Raccoon Mix,Black/Gray,182
A775471,2018-05-30,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Black,31
A775472,2018-05-30,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Black/White,31
A773356,2018-05-06,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,55
A773872,2018-05-01,Unknown,2018-06-30,06-2018,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie/White,60
A775451,2015-06-30,*Waffles,2018-07-02,07-2018,Transfer,Partner,Dog,Intact Female,3 years,Pit Bull Mix,Brown/White,1098
A776024,2018-06-16,Unknown,2018-07-08,07-2018,Transfer,Partner,Cat,Intact Female,3 weeks,Russian Blue Mix,Blue,22
A768237,2016-12-15,Chopper,2018-07-08,07-2018,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,White/Chocolate,570
A776138,2018-04-09,Unknown,2018-07-09,07-2018,Transfer,Partner,Bird,Unknown,2 months,Duck Mix,Brown/Yellow,91
A776139,2018-04-09,Unknown,2018-07-09,07-2018,Transfer,Partner,Bird,Unknown,2 months,Duck Mix,Brown/Yellow,91
A775457,2011-06-30,Ms. Piggly,2018-07-10,07-2018,Transfer,Partner,Dog,Intact Female,7 years,Australian Cattle Dog Mix,Black,2567
A775873,2018-05-02,Unknown,2018-07-10,07-2018,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,69
A774967,2017-10-22,*Rumi,2018-07-10,07-2018,Transfer,Partner,Dog,Intact Male,8 months,Plott Hound/Labrador Retriever,Black/Brown,261
A774427,2012-06-15,*Java,2018-07-10,07-2018,Transfer,Partner,Dog,Intact Female,6 years,German Shepherd Mix,Sable,2216
A774401,2014-06-14,Shadow,2018-07-10,07-2018,Transfer,Partner,Dog,Intact Male,4 years,Flat Coat Retriever Mix,Black/White,1487
A766932,2017-11-19,Sam,2018-07-10,07-2018,Transfer,Partner,Dog,Neutered Male,7 months,Pointer Mix,Chocolate/White,233
A760020,2017-08-03,Camila,2018-07-10,07-2018,Transfer,Partner,Dog,Spayed Female,11 months,Labrador Retriever Mix,Black/White,341
A776213,2004-11-10,Larry Bruce,2018-07-11,07-2018,Transfer,Partner,Cat,Neutered Male,13 years,Domestic Longhair,Black,4991
A776190,2005-01-10,Sarah,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Gray Tabby,4930
A776191,2006-07-10,Remy,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Black,4384
A776192,2006-03-17,Trini,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Tortie,4499
A776193,2004-07-10,Sled,2018-07-11,07-2018,Transfer,Partner,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Gray/White,5114
A776194,2006-10-10,Calvin Ii,2018-07-11,07-2018,Transfer,Partner,Cat,Neutered Male,11 years,Domestic Medium Hair,Gray Tabby/White,4292
A776195,2006-01-10,Charlie,2018-07-11,07-2018,Transfer,Partner,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Orange Tabby,4565
A776197,2004-11-10,Marty,2018-07-11,07-2018,Transfer,Partner,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Black/White,4991
A776188,2007-01-10,Emmy Lou,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie,4200
A776202,2000-03-10,Lentil,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,18 years,Domestic Shorthair,Brown Tabby,6697
A776204,2007-01-10,Blacky Iii,2018-07-11,07-2018,Transfer,Partner,Cat,Neutered Male,11 years,Domestic Shorthair,Black,4200
A776205,2006-01-10,Kona,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Shorthair,Calico,4565
A776206,2004-07-10,India,2018-07-11,07-2018,Transfer,Partner,Cat,Spayed Female,14 years,Domestic Medium Hair,Black,5114
A775543,2011-07-01,Junior,2018-07-12,07-2018,Transfer,Partner,Dog,Neutered Male,7 years,Bruss Griffon Mix,White,2568
A775541,2016-07-01,April,2018-07-12,07-2018,Transfer,Partner,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Tan,741
A776442,2018-07-13,Unknown,2018-07-13,07-2018,Transfer,Partner,Cat,Intact Male,0 years,Domestic Shorthair Mix,Black,0
A776443,2018-07-06,Unknown,2018-07-13,07-2018,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Blue,7
A776444,2018-07-13,Unknown,2018-07-13,07-2018,Transfer,Partner,Cat,Intact Male,0 years,Domestic Shorthair Mix,Black,0
A776445,2018-07-13,Unknown,2018-07-13,07-2018,Transfer,Partner,Cat,Intact Female,0 years,Domestic Shorthair Mix,Tortie,0
A775992,2018-05-26,*Benji,2018-07-14,07-2018,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,49
A770750,2017-08-24,Baxter,2018-07-18,07-2018,Transfer,Partner,Dog,Neutered Male,10 months,Pit Bull Mix,Brown/White,328
A772607,2016-05-21,*Mia,2018-07-20,07-2018,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,790
A776631,2016-07-16,Cyrus,2018-07-22,07-2018,Adoption,,Dog,Neutered Male,2 years,Neapolitan Mastiff Mix,Blue/White,736
A776966,2018-06-05,Cupcake,2018-07-22,07-2018,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan/White,47
A776967,2018-06-05,Poochihuahua,2018-07-22,07-2018,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,White,47
A776968,2018-06-05,Rhino Fire,2018-07-22,07-2018,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,White,47
A776969,2018-06-05,Texas,2018-07-22,07-2018,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,White,47
A776970,2018-06-05,Cotton Candy,2018-07-22,07-2018,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair/Shih Tzu,Tan,47
A774938,2018-04-22,Unknown,2018-07-22,07-2018,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,91
A774939,2018-04-22,Unknown,2018-07-22,07-2018,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,91
A774940,2018-04-22,Unknown,2018-07-22,07-2018,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby,91
A777152,2018-07-20,Unknown,2018-07-24,07-2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,4
A777154,2018-07-20,Unknown,2018-07-24,07-2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Black,4
A777155,2018-07-20,Unknown,2018-07-24,07-2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,4
A776140,2018-05-14,Unknown,2018-07-25,07-2018,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,72
A776141,2018-05-14,Unknown,2018-07-25,07-2018,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White,72
A776142,2018-05-14,Unknown,2018-07-25,07-2018,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,72
A761244,2014-11-01,Watcho,2018-07-26,07-2018,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Blue,1363
A697936,2013-03-04,Peanut,2018-07-26,07-2018,Transfer,Partner,Dog,Spayed Female,5 years,Bulldog/Staffordshire,Fawn/White,1970
A777434,2018-06-28,Unknown,2018-07-28,07-2018,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby,30
A777027,2012-07-22,Unknown,2018-07-29,07-2018,Transfer,Partner,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White,2198
A751971,2016-12-19,Duke,2018-07-30,07-2018,Transfer,Partner,Dog,Neutered Male,1 year,German Shepherd Mix,Tan,588
A767308,2017-02-26,Cisco,2018-08-01,08-2018,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull/Boston Terrier,Black/White,521
A711096,2012-07-30,Schatzi,2018-08-02,08-2018,Transfer,Partner,Dog,Spayed Female,6 years,American Staffordshire Terrier Mix,Blue/White,2194
A777642,2017-07-31,Unknown,2018-08-06,08-2018,Transfer,Partner,Other,Intact Female,1 year,American,Brown,371
A777763,2018-06-02,Unknown,2018-08-06,08-2018,Transfer,Partner,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Black/White,65
A777764,2018-06-02,Unknown,2018-08-06,08-2018,Transfer,Partner,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Black/White,65
A768192,2016-03-14,Blanca,2018-08-06,08-2018,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull,White,875
A672202,2011-08-05,Roxy,2018-08-06,08-2018,Transfer,Partner,Dog,Spayed Female,7 years,Pit Bull Mix,Black/White,2558
A684578,2013-07-25,Mia,2018-08-06,08-2018,Transfer,Partner,Dog,Spayed Female,5 years,American Pit Bull Terrier Mix,Tan/White,1838
A777801,2013-08-03,Nino,2018-08-07,08-2018,Transfer,Partner,Dog,Intact Male,5 years,Chihuahua Longhair Mix,Brown,1830
A778014,2017-02-07,Ace,2018-08-07,08-2018,Return to Owner,,Dog,Neutered Male,1 year,Standard Poodle/Labrador Retriever,Tan,546
A778138,2012-08-09,Lucy,2018-08-09,08-2018,Transfer,Partner,Dog,Intact Female,6 years,Dachshund Mix,Tricolor,2191
A778135,2018-06-09,Sophie,2018-08-09,08-2018,Transfer,Partner,Dog,Spayed Female,1 month,Dachshund Mix,White/Black,61
A778127,2018-05-09,Unknown,2018-08-13,08-2018,Transfer,Partner,Dog,Intact Male,3 months,German Shepherd Mix,Brown/White,96
A778128,2018-05-09,Unknown,2018-08-13,08-2018,Transfer,Partner,Dog,Intact Male,3 months,Labrador Retriever Mix,Tricolor,96
A778125,2018-05-09,Unknown,2018-08-13,08-2018,Transfer,Partner,Dog,Intact Male,3 months,German Shepherd Mix,Brown/Black,96
A777962,2016-02-06,Chloe,2018-08-13,08-2018,Transfer,Partner,Dog,Intact Female,2 years,German Shepherd/Queensland Heeler,Black/Brown,919
A729528,2011-06-19,Sugar,2018-08-13,08-2018,Transfer,Partner,Dog,Spayed Female,7 years,English Bulldog Mix,Brown Brindle/White,2612
A778216,2018-02-11,Unknown,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,6 months,Collie Smooth Mix,Brown/Tan,184
A778194,2018-04-09,Unknown,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,4 months,Labrador Retriever Mix,Black/White,127
A778187,2017-08-09,Unknown,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,1 year,German Shepherd/Catahoula,Cream,370
A778110,2017-08-08,Unknown,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,1 year,Finnish Spitz,Brown,371
A777659,2015-08-01,*Brie,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,3 years,Greyhound Mix,Brown Brindle/White,1109
A777664,2016-08-01,*Monroe,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,2 years,Beagle Mix,White/Red,743
A777813,2017-08-03,*Riggins,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever/Beagle,Black/White,376
A778019,2017-08-07,Unknown,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Female,1 year,German Shepherd Mix,White/Brown,372
A777967,2017-07-06,Keeko,2018-08-14,08-2018,Return to Owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Black,404
A777923,2017-08-05,*Picadillo,2018-08-14,08-2018,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White,374
A778334,2017-08-12,Unknown,2018-08-15,08-2018,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,368
A778190,2018-03-10,Ollie,2018-08-15,08-2018,Transfer,Partner,Dog,Neutered Male,5 months,German Shepherd Mix,Brown/Black,158
A776036,2017-07-07,*Willow,2018-08-16,08-2018,Transfer,Partner,Dog,Intact Female,1 year,German Shepherd Mix,Brown,405
A773807,2014-12-05,Lenin,2018-08-16,08-2018,Transfer,Partner,Dog,Neutered Male,3 years,German Shepherd Mix,Brown Brindle/White,1350
A777982,2011-08-07,Spike,2018-08-17,08-2018,Return to Owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Black/Brown,2567
A778910,2015-08-22,Benny,2018-08-23,08-2018,Return to Owner,,Dog,Neutered Male,3 years,Jack Russell Terrier Mix,White/Brown,1097
A778911,2015-08-22,Buddy,2018-08-23,08-2018,Transfer,Partner,Dog,Intact Male,3 years,Cairn Terrier Mix,White/Brown,1097
A778751,2017-08-19,Max,2018-08-23,08-2018,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,369
A778656,2014-08-18,Zoey,2018-08-23,08-2018,Return to Owner,,Dog,Spayed Female,4 years,Cocker Spaniel Mix,Red/Black,1466
A778412,2018-04-14,Prince,2018-08-26,08-2018,Transfer,Partner,Bird,Intact Male,4 months,Chicken Mix,Gray,134
A778413,2018-04-14,Harry,2018-08-26,08-2018,Transfer,Partner,Bird,Intact Male,4 months,Chicken Mix,Blue,134
A779197,2016-08-27,Unknown,2018-08-27,08-2018,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White,730
A777343,2013-01-27,Bane,2018-09-02,09-2018,Transfer,Partner,Dog,Neutered Male,5 years,Great Dane/Australian Cattle Dog,Black,2044
A779476,2017-03-01,Jj,2018-09-03,09-2018,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair/Jack Russell Terrier,Tricolor,551
A779539,2017-06-05,Tobie,2018-09-03,09-2018,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/Tricolor,455
A779372,2017-03-02,Unknown,2018-09-03,09-2018,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,550
A779373,2017-12-30,Unknown,2018-09-03,09-2018,Transfer,Snr,Cat,Intact Female,8 months,Domestic Shorthair Mix,Brown Tabby/White,247
A777166,2017-07-24,Waylon,2018-09-03,09-2018,Transfer,Partner,Dog,Neutered Male,1 year,Catahoula Mix,White/Tan,406
A775905,2017-07-06,Kit,2018-09-03,09-2018,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,424
A770463,2012-04-20,Penny,2018-09-03,09-2018,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Brown Tabby,2327
A772561,2011-11-21,Bootsy,2018-09-03,09-2018,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White,2478
A774207,2017-06-11,*Cleo,2018-09-03,09-2018,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby,449
A761779,2017-07-04,Tiny B,2018-09-03,09-2018,Transfer,Partner,Dog,Intact Male,1 year,Australian Cattle Dog Mix,White/Tan,426
A779797,2018-05-05,Unknown,2018-09-05,09-2018,Euthanasia,Suffering,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby,123
A780020,2018-08-24,Unknown,2018-09-08,09-2018,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,15
A779511,2016-09-02,Unknown,2018-09-10,09-2018,Return to Owner,,Dog,Neutered Male,2 years,Catahoula Mix,Brown,738
A780129,2018-07-10,Unknown,2018-09-11,09-2018,Transfer,Partner,Dog,Intact Female,2 months,Weimaraner/Vizsla,Chocolate,63
A780078,2015-09-09,Unknown,2018-09-13,09-2018,Transfer,Snr,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,1100
